ID,betingelse,item,svar,svartid,maksimalafvigelser
34,4,5,0,1.62,1.02359
34,4,9,0,2.43,0.89035
34,4,13,0,1.46,-0.26523
34,5,20,1,2.39,0.85600
34,5,24,1,2.01,0.95461
34,5,28,0,1.79,0.95443
34,5,32,0,2.10,-0.33798
34,6,18,1,1.87,1.05230
34,6,22,1,1.75,0.48902
34,6,26,1,2.18,0.86095
34,6,30,1,1.96,-0.40401
34,7,19,1,3.14,-0.30368
34,7,23,0,3.54,-0.37014
34,7,27,0,2.06,0.73062
34,7,31,0,1.77,-0.40156
34,8,17,0,1.59,-0.35671
34,8,21,1,3.70,1.04029
34,8,25,0,2.16,0.95416
34,8,29,1,3.55,1.09119
41,1,1,1,2.21,0.48549
41,1,5,0,4.79,0.20217
41,1,9,1,3.00,0.15276
41,1,13,1,1.75,0.46267
41,2,3,0,5.97,1.00128
41,2,7,0,4.58,0.77338
41,2,11,1,4.36,0.85476
41,2,15,0,2.27,0.41818
41,3,4,0,3.24,0.08684
41,3,8,1,3.64,0.95621
41,3,12,1,2.12,0.53449
41,3,16,1,1.96,-0.17682
41,4,2,0,1.90,0.64779
41,4,6,1,1.98,0.15341
41,4,10,1,4.26,0.55577
41,4,14,1,2.56,-0.26793
41,5,17,0,3.23,-0.17293
41,5,21,0,3.89,0.08490
41,5,25,0,2.68,0.07307
41,5,29,0,2.08,1.13800
41,6,19,1,3.14,0.98975
41,6,23,1,1.81,0.12170
41,6,27,1,2.34,-0.14023
41,6,31,1,2.99,-0.20027
41,7,20,1,2.00,1.02216
41,7,24,0,3.28,0.97188
41,7,28,0,1.94,-0.14762
41,7,32,0,4.60,0.13195
41,8,18,0,4.74,1.08765
41,8,22,0,3.45,-0.11143
41,8,26,1,4.64,0.77773
41,8,30,0,5.14,0.18924
42,1,2,1,1.75,-0.05290
42,1,6,1,1.53,0.54500
42,1,10,1,2.29,-0.04303
42,1,14,1,1.63,-0.11610
42,2,4,0,1.44,0.06430
42,2,8,0,1.84,-0.04342
42,2,12,0,2.24,1.26783
42,2,16,1,1.96,-0.05152
42,3,1,1,2.06,0.53827
42,3,5,0,2.18,1.05600
42,3,9,1,1.86,0.92244
42,3,13,0,2.53,-0.09633
42,4,3,0,4.45,1.19274
42,4,7,0,3.18,0.67014
42,4,11,0,2.52,-0.10702
42,4,15,0,1.50,0.08373
42,5,18,1,2.62,0.11024
42,5,22,0,2.26,-0.06477
42,5,26,0,1.83,1.08639
42,5,30,1,2.99,0.42924
42,6,20,0,1.72,0.02272
42,6,24,1,3.98,0.17954
42,6,28,0,3.62,0.97460
42,6,32,1,1.51,1.02294
42,7,17,0,3.39,-0.03284
42,7,21,1,3.76,1.26036
42,7,25,0,3.62,-0.05569
42,7,29,0,2.32,-0.12043
42,8,19,0,2.64,0.06655
42,8,23,1,1.46,-0.01912
42,8,27,0,1.92,0.14526
42,8,31,0,6.04,-0.10056
43,1,3,1,2.32,-0.01529
43,1,7,1,3.07,0.78160
43,1,11,0,2.07,0.65575
43,1,15,0,3.24,0.12082
43,2,1,1,2.34,0.58147
43,2,5,0,2.18,0.52869
43,2,9,1,2.96,0.65690
43,2,13,0,1.44,-0.15701
43,3,2,1,4.01,0.99611
43,3,6,1,3.43,0.19949
43,3,10,1,3.92,0.97698
43,3,14,1,3.45,0.41034
43,4,4,0,2.34,-0.07400
43,4,8,0,2.70,0.43246
43,4,12,0,2.40,0.03921
43,4,16,0,2.08,0.90025
43,5,19,0,2.36,0.13833
43,5,23,1,5.32,1.05052
43,5,27,0,1.98,0.39176
43,5,31,0,4.50,1.12261
43,6,17,1,1.97,-0.09321
43,6,21,0,1.92,1.11561
43,6,25,0,4.38,1.07196
43,6,29,1,3.56,-0.05016
43,7,18,0,1.70,-0.14565
43,7,22,0,2.44,0.23203
43,7,26,1,2.60,0.12011
43,7,30,1,3.15,1.16729
43,8,20,0,3.70,0.85853
43,8,24,1,2.40,1.11609
43,8,28,0,2.18,0.77825
43,8,32,0,3.04,0.98377
44,1,4,0,5.15,0.20894
44,1,8,0,3.05,-0.06901
44,1,12,0,3.35,0.50040
44,1,16,1,3.07,0.27162
44,2,2,1,4.43,-0.13475
44,2,6,1,3.53,1.20666
44,2,10,0,2.61,0.06527
44,2,14,0,3.64,0.34237
44,3,3,1,3.37,1.07247
44,3,7,1,2.82,1.00603
44,3,11,1,3.81,1.09125
44,3,15,1,2.51,0.02861
44,4,1,0,2.40,1.09726
44,4,5,0,2.82,0.10282
44,4,9,1,2.77,-0.08408
44,4,13,1,2.86,1.04266
44,5,20,1,3.23,1.07304
44,5,24,0,3.37,-0.24220
44,5,28,0,3.31,1.07231
44,5,32,0,3.43,0.08794
44,6,18,0,3.03,1.07662
44,6,22,0,2.79,1.17938
44,6,26,1,3.38,0.29041
44,6,30,1,2.41,1.02665
44,7,19,1,3.20,1.19999
44,7,23,0,6.57,1.18493
44,7,27,0,2.91,1.12683
44,7,31,1,3.19,-0.14370
44,8,17,1,2.19,0.35012
44,8,21,0,2.27,0.23203
44,8,25,0,2.33,1.09679
44,8,29,1,2.89,0.13152
51,1,1,0,4.25,0.07175
51,1,5,1,3.83,0.13182
51,1,9,0,5.04,0.32181
51,1,13,1,2.04,0.24380
51,2,3,1,5.44,0.12572
51,2,7,1,4.10,0.24558
51,2,11,1,3.47,0.05944
51,2,15,1,2.60,0.18894
